Date,Time,Case,Primary Convective Type,Region,500m Bottom Cap Deep Layer Speed Shear [kts],500m Bottom Cap Deep Layer Directional Shear [deg],500m Wind Speed [kts],500m Wind Direction [deg],Upper Level Cap Wind Speed [kts],Upper Level Cap Wind Direction [deg],DAWN PBL Speed Shear [kts],DAWN PBL Directional Shear [deg],DAWN Mid Layer Speed Shear [kts],DAWN Mid Layer Directional Shear [deg],DAWN Upper Layer Speed Shear [kts],DAWN Upper Layer Directional Shear [deg],500m Bottom Cap Profile Height [m],Upper Level Cap Height [m],Environment Falling In,Environment Falling In Ambiguous,Convective Lifecycle
20170610,210635,1,Isolated,Western Atlantic,14.15,307.2,8.29,144.5,6.7,285.63,--,--,--,--,--,--,513.86,7634.8,Clear Near,--,--
20170610,210726,1,Isolated,Western Atlantic,16.29,315.98,9.69,144.26,6.84,304.21,--,--,--,--,--,--,483.76,7638.1,Clear Near,--,--
20170610,211235,1,Isolated,Western Atlantic,15.25,291.25,5.51,136.85,10.55,278.21,--,--,--,--,--,--,512.2,7626.7,Clear Near,--,--
20170610,211327,1,Isolated,Western Atlantic,15.45,293.9,8.48,128.56,7.56,277.41,--,--,--,--,--,--,514.78,7628.6,Clear Near,--,--
20170610,212445,1,Isolated,Western Atlantic,27.42,269.58,12.08,136.68,21.14,244.84,--,--,--,--,--,--,494.34,7620.1,Clear Near,--,--
20170610,212541,1,Isolated,Western Atlantic,29.35,271.29,11.78,142.39,23.8,248.63,--,--,--,--,--,--,491.49,7635.7,Clear Near,--,--
20170610,212609,1,Isolated,Western Atlantic,25.46,264.53,19.44,138.88,21.19,216.36,--,--,--,--,--,--,488.26,7621,Clear Near,--,--
20170610,214649,1,Isolated,Western Atlantic,15.82,278.12,8.27,114.92,8.26,261.27,--,--,--,--,--,--,506.46,7611.1,Clear Near,--,--
20170610,214717,1,Isolated,Western Atlantic,16.71,297.56,9.46,136.5,8.34,275.96,--,--,--,--,--,--,511.01,7612.6,Clear Near,--,--
20170610,214745,1,Isolated,Western Atlantic,17.76,294.74,7.62,138.39,11.2,278.9,--,--,--,--,--,--,507.94,7611.9,Clear Near,--,--
20170610,214813,1,Isolated,Western Atlantic,17.87,302.74,10.26,144.72,9.19,278.04,--,--,--,--,--,--,503.03,7611.5,Clear Near,--,--
20170610,214841,1,Isolated,Western Atlantic,16.72,284.12,10.18,131.41,8.98,252.81,--,--,--,--,--,--,523.63,7610.7,Clear Near,--,--
20170610,215006,1,Isolated,Western Atlantic,16.59,299.33,8.08,140,9.47,281.8,--,--,--,--,--,--,497.68,7641.9,Clear Near,--,Weakening
20170610,215255,1,Isolated,Western Atlantic,13.38,296.42,13.57,131.47,3.54,210.85,--,--,--,--,--,--,505.64,7643.6,Clear Near,--,Weakening
20170610,215323,1,Isolated,Western Atlantic,18.65,293.94,12.97,126.19,6.59,269.24,--,--,--,--,--,--,513.34,7612.8,Clear Near,--,Weakening
20170610,215419,1,Isolated,Western Atlantic,12.36,302.81,12.19,135.8,2.78,222.76,--,--,--,--,--,--,515.33,7611.1,Clear Near,--,Weakening
20170610,215447,1,Isolated,Western Atlantic,18.56,287.95,16.87,118.65,3.71,230.34,--,--,--,--,--,--,494.56,7611.2,Clear Near,--,Weakening
20170610,215516,1,Isolated,Western Atlantic,15.69,265.8,13.78,90.54,2.27,235.59,--,--,--,--,--,--,504.71,7612.4,Clear Near,--,Weakening
20170610,215901,1,Isolated,Western Atlantic,7.54,287.97,14.97,116.43,7.6,124.82,--,--,--,--,--,--,501.32,7611.3,Clear Near,--,Weakening
20170610,220150,1,Isolated,Western Atlantic,10.05,301.43,8.91,125.81,1.35,271.19,--,--,--,--,--,--,507.19,7611.9,Clear Near,--,Weakening
20170610,220603,1,Isolated,Western Atlantic,15.87,245.19,8.68,99.3,9.96,215.92,--,--,--,--,--,--,494.4,7636.8,Clear Near,--,Weakening
20170610,220631,1,Isolated,Western Atlantic,12.87,267.3,7.8,108.74,6.29,240.33,--,--,--,--,--,--,512.89,7635.3,Clear Near,--,Weakening
20170610,220659,1,Isolated,Western Atlantic,18.32,267.43,5.9,111.11,13.14,257.04,--,--,--,--,--,--,484.05,7633.2,Clear Near,--,Weakening
20170610,221718,1,Isolated,Western Atlantic,26.27,269.17,14.47,135.36,19.32,236.46,--,--,--,--,--,--,501.78,7634.2,Clear Near,--,Weakening
20170610,222007,1,Isolated,Western Atlantic,24.15,244.59,4.64,117.82,21.69,234.73,--,--,--,--,--,--,485.36,7637.9,Clear Near,--,Weakening
20170610,222035,1,Isolated,Western Atlantic,22.13,260.32,7.32,120.14,17.17,244.48,--,--,--,--,--,--,485.28,7636.4,Clear Near,--,Weakening
20170610,222103,1,Isolated,Western Atlantic,24.18,249.33,6.14,110.61,19.99,237.64,--,--,--,--,--,--,486.78,7635.7,Clear Near,--,Weakening
20170610,222131,1,Isolated,Western Atlantic,16.6,236.21,2.55,112,15.31,228.29,--,--,--,--,--,--,508.73,7635.7,Clear Near,--,Weakening
20170610,222159,1,Isolated,Western Atlantic,22.02,234.37,2.44,109.86,20.74,228.81,--,--,--,--,--,--,503.71,7631.8,Clear Near,--,Weakening
20170610,222228,1,Isolated,Western Atlantic,24.21,256.98,7.04,137.79,21.67,240.51,--,--,--,--,--,--,516.22,7631.1,Clear Near,--,Weakening
20170610,222256,1,Isolated,Western Atlantic,26.3,251.14,5.98,95.93,21.03,244.29,--,--,--,--,--,--,504.86,7629.4,Clear Near,--,Weakening
20170610,222324,1,Isolated,Western Atlantic,25.85,241.68,3.78,83.68,22.39,238.06,--,--,--,--,--,--,492.01,7626.4,Clear Near,--,Weakening
20170610,222352,1,Isolated,Western Atlantic,24.72,247.5,6.85,81.61,18.15,242.23,--,--,--,--,--,--,491.21,7626.4,Clear Near,--,Weakening
20170610,222421,1,Isolated,Western Atlantic,27.76,238.48,6.9,44.28,21.14,243.08,--,--,--,--,--,--,509.84,7627.4,Clear Near,--,Weakening
20170610,222449,1,Isolated,Western Atlantic,24.98,240.72,1.48,93.06,23.75,238.81,--,--,--,--,--,--,500.84,7626.4,Clear Near,--,Weakening
20170610,222518,1,Isolated,Western Atlantic,29.02,236.75,1.75,61.42,27.28,236.45,--,--,--,--,--,--,484.5,7620.1,Clear Near,--,Weakening
20170610,222546,1,Isolated,Western Atlantic,25.73,238.34,0.84,56.52,24.88,238.4,--,--,--,--,--,--,491.94,7621.6,Clear Near,--,Weakening
20170610,222615,1,Isolated,Western Atlantic,25.57,245.3,1.2,90.94,24.49,244.08,--,--,--,--,--,--,488.01,7621.1,Clear Near,--,Weakening
20170624,183615,2,Isolated,Caribbean,14.14,37.82,20.62,56.89,34.3,49.15,--,--,--,--,--,--,502.49,7631.9,Clear Near,--,--
20170624,194639,2,Isolated,Caribbean,3.78,155.65,8.59,58.53,8.95,83.31,--,--,--,--,--,--,489.55,7627.7,Clear Near,--,--
20170624,194854,2,Isolated,Caribbean,2.83,137.77,7.23,68.91,8.67,86.64,--,--,--,--,--,--,507.42,7623.1,Clear Near,--,--
20170624,195109,2,Isolated,Caribbean,4.26,11.22,8.17,122.21,7.74,91.32,--,--,--,--,--,--,491.73,7629.7,Clear Near,--,--
20170624,195539,2,Isolated,Caribbean,6.77,117.21,7.69,58.52,12.61,85.83,--,--,--,--,--,--,503.44,7620.4,Clear Near,--,--
20170624,195756,2,Isolated,Caribbean,12.08,140.64,8.89,24.26,11.38,96.23,--,--,--,--,--,--,498.57,7625.2,Clear Near,--,--
20170624,200011,3,Isolated,Gulf,12.04,185.21,13.98,40.42,8.08,99.59,--,--,--,--,--,--,510.15,7626.5,Clear Near,--,--
20170624,200226,3,Isolated,Gulf,7.15,191.47,12.4,53.09,8.51,87.03,--,--,--,--,--,--,515.04,7626.9,Clear Near,--,--
20170624,200441,3,Isolated,Gulf,9.89,201.73,13.3,58.27,7.96,105.98,--,--,--,--,--,--,494.42,7622.4,Clear Near,--,--
20170624,200656,3,Isolated,Gulf,10.74,226.59,14.31,69.11,6.01,112.26,--,--,--,--,--,--,504.7,7621.4,Clear Near,--,--
20170624,200911,3,Isolated,Gulf,10.86,220.3,10.02,68.99,5.24,153.55,--,--,--,--,--,--,509.93,7623.3,Clear Near,--,--
20170624,203141,3,Isolated,Gulf,12.5,222.42,6.39,120.6,12.82,193.2,--,--,--,--,--,--,512.72,7633.9,Clear Near,--,--
20170624,203611,3,Isolated,Gulf,20.71,217.39,11.69,60.62,10.98,192.58,--,--,--,--,--,--,488.51,7607.9,Clear Near,--,--
20210822,5104,15,Isolated,Western Atlantic,26.96,232.24,22.06,68.82,8.57,184.96,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,5146,15,Isolated,Western Atlantic,35.1,243.29,26.32,83.41,13.78,202.22,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,5208,15,Isolated,Western Atlantic,29.41,245.45,25.27,79.94,8.03,193.47,--,--,--,--,--,--,495,7590,Clear Near,--,Weakening
20210822,5229,15,Isolated,Western Atlantic,32.18,238.86,27.45,79.27,11.55,182.85,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,5250,15,Isolated,Western Atlantic,30.41,245.59,26.01,83.13,9.64,191.18,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,5311,15,Isolated,Western Atlantic,34.28,244.01,31.55,79.85,9.47,178.56,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,5333,15,Isolated,Western Atlantic,36.76,250.92,29,82.47,10.17,216.09,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,5354,15,Isolated,Western Atlantic,33.23,246.03,28.01,83.57,10.67,193.73,--,--,--,--,--,--,495,7557,Clear Near,--,Weakening
20210822,5415,15,Isolated,Western Atlantic,34.56,241.81,33.01,83.88,13.02,169.59,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,5437,15,Isolated,Western Atlantic,37.01,256.39,34.72,86.91,6.96,190.8,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,5458,15,Isolated,Western Atlantic,43.39,256.88,30.89,86.94,14.05,234.31,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,5518,15,Isolated,Western Atlantic,24.81,258.23,27.04,92.44,6.78,156.28,--,--,--,--,--,--,495,7557,Clear Near,--,Weakening
20210822,5539,15,Isolated,Western Atlantic,25.26,252.47,24.1,93.4,9.04,180.17,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,5600,15,Isolated,Western Atlantic,20.88,255.83,20.25,90.88,5.42,179.92,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,5621,15,Isolated,Western Atlantic,21.13,251.93,18.12,93.86,8.03,194.51,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,5642,15,Isolated,Western Atlantic,17.4,249.51,15.57,93.83,7.17,186.14,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,5702,15,Isolated,Western Atlantic,39.06,259.41,18.76,92.81,21.27,247.61,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,5827,15,Isolated,Western Atlantic,30.46,251.45,20.8,77.75,10.05,238.32,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,5848,15,Isolated,Western Atlantic,22.79,248.16,23.87,77.05,3.77,146.06,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,5929,15,Isolated,Western Atlantic,33.41,238.39,28.69,75.89,10.54,183.4,--,--,--,--,--,--,495,7557,Clear Near,--,Weakening
20210822,10009,15,Isolated,Western Atlantic,37.09,231.45,24.94,82.35,20.25,192.22,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,10050,15,Isolated,Western Atlantic,27.56,236.12,25.76,90.39,15.8,169.52,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,10111,15,Isolated,Western Atlantic,27.87,250.4,28.26,80.06,4.74,160.5,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,10132,15,Isolated,Western Atlantic,30.9,243.21,28.36,76.06,7.1,180.49,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,10154,15,Isolated,Western Atlantic,22.22,247,16.78,83.03,7.66,209.77,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,10215,15,Isolated,Western Atlantic,15.66,243.82,12.44,82.51,5.56,198,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,10237,15,Isolated,Western Atlantic,13.64,249.45,12.85,84.33,3.52,179.76,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,10258,15,Isolated,Western Atlantic,21.75,236.6,13.98,79.84,10.48,204.85,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,10319,15,Isolated,Western Atlantic,25.2,244.35,20.8,72.93,5.58,210.55,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,10340,15,Isolated,Western Atlantic,31.24,239.48,26.59,78.1,10.42,184.88,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,10402,15,Isolated,Western Atlantic,28.9,251,23.79,83.08,7.52,209.53,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,10423,15,Isolated,Western Atlantic,25.3,238.92,21.38,79.37,9.14,184.08,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,10444,15,Isolated,Western Atlantic,25.86,239.8,25.87,77.74,8.07,158.69,--,--,--,--,--,--,495,7656,Clear Near,--,Weakening
20210822,10506,15,Isolated,Western Atlantic,34.59,239.74,26.03,74.17,11.41,205.09,--,--,--,--,--,--,495,7656,Clear Near,--,Weakening
20210822,10527,15,Isolated,Western Atlantic,31.26,239.71,29.76,73.93,7.7,168,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,10609,15,Isolated,Western Atlantic,29.55,241.79,26.38,72.36,6.05,188.61,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,10631,15,Isolated,Western Atlantic,28.56,241.95,28.85,76.65,7.35,157.1,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,10652,15,Isolated,Western Atlantic,33.71,237.12,35.53,67.15,6.32,135.47,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,10713,15,Isolated,Western Atlantic,17.5,244.14,27.72,78.9,11.68,101.33,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,10756,15,Isolated,Western Atlantic,35.64,256.42,32.95,88.19,7.52,193.16,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,10817,15,Isolated,Western Atlantic,42.6,267.73,11.02,122.09,34.08,257.21,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,10838,15,Isolated,Western Atlantic,40.45,264.14,47.94,101.48,15.24,153.75,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,10859,15,Isolated,Western Atlantic,20.09,259.46,19.67,87.84,2.94,181.78,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,10921,15,Isolated,Western Atlantic,20.83,241.6,23.7,79,7.31,137.47,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,10942,15,Isolated,Western Atlantic,25.46,242.9,25.76,75.56,5.66,156.26,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11003,15,Isolated,Western Atlantic,25.05,252.68,17.79,77.62,7.48,240.88,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11025,15,Isolated,Western Atlantic,29.5,241.37,22.72,74.97,9.14,205.56,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11046,15,Isolated,Western Atlantic,28.48,245.3,23.66,72.55,5.83,214.51,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11107,15,Isolated,Western Atlantic,27.66,243.14,24.26,76.99,7.11,188.4,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11129,15,Isolated,Western Atlantic,31.35,246.86,24.75,69.44,6.73,237.33,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11150,15,Isolated,Western Atlantic,29.54,255.65,23.66,84.7,7.21,224.61,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11211,15,Isolated,Western Atlantic,27.37,252.62,20.9,75.02,6.55,244.96,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11233,15,Isolated,Western Atlantic,34.56,234.84,21.89,71.32,14.93,210.26,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11254,15,Isolated,Western Atlantic,25.61,258.28,24.84,64.14,6.26,334.19,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11315,15,Isolated,Western Atlantic,33.25,270.65,23.81,70.98,13.47,307.15,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11336,15,Isolated,Western Atlantic,28,254.16,21.58,73.37,6.43,256.83,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11358,15,Isolated,Western Atlantic,30.78,286.02,23.37,75.47,15.96,334.11,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11419,15,Isolated,Western Atlantic,28.1,257.03,22.3,75.34,5.85,263.48,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11440,15,Isolated,Western Atlantic,28.34,256.18,22.61,72.26,5.99,271.15,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11501,15,Isolated,Western Atlantic,27.63,249.36,23.07,73.99,5,227.5,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11523,15,Isolated,Western Atlantic,27.07,270.45,22.55,73.93,8.42,320.05,--,--,--,--,--,--,495,7590,Clear Near,--,Weakening
20210822,11544,15,Isolated,Western Atlantic,27.8,262.29,21.79,72.21,7.41,293.27,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11605,15,Isolated,Western Atlantic,25.26,260.04,23.05,78.09,2.35,279.5,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11627,15,Isolated,Western Atlantic,26.66,263.29,22.35,80.86,4.43,275.61,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11648,15,Isolated,Western Atlantic,23.64,260.55,21.95,68.5,5.07,325.13,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11709,15,Isolated,Western Atlantic,25.1,269.57,22.12,75.3,6.57,325.69,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11730,15,Isolated,Western Atlantic,22.59,254.06,23.02,74.13,0.43,78.04,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11752,15,Isolated,Western Atlantic,30.16,227.78,22.67,76.73,15.06,181.03,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11813,15,Isolated,Western Atlantic,25.3,253.52,22.63,80.55,3.97,209.25,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11834,15,Isolated,Western Atlantic,18.84,234.41,20.14,85.55,10.54,153.14,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11856,15,Isolated,Western Atlantic,23.71,271.17,21.71,79.32,5.09,332.31,--,--,--,--,--,--,528,7623,Clear Near,--,Weakening
20210822,11917,15,Isolated,Western Atlantic,23.93,243.07,21.6,74.67,5.15,185.6,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11938,15,Isolated,Western Atlantic,25.94,260.94,21.01,74.31,5.62,286.54,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,11959,15,Isolated,Western Atlantic,23.85,242.14,20.41,66.76,3.87,217.02,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,12021,15,Isolated,Western Atlantic,18.22,217.01,9.93,69.76,11.24,188.44,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,12042,15,Isolated,Western Atlantic,25.88,266.77,23.21,111.49,10.83,203.08,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,12103,15,Isolated,Western Atlantic,21.28,260.13,16.48,96.81,7.25,219.39,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,12125,15,Isolated,Western Atlantic,30.99,219.31,21.63,47.77,10.11,200.97,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,12146,15,Isolated,Western Atlantic,20.04,245.3,16.52,71.92,4.1,217.61,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,12207,15,Isolated,Western Atlantic,21.36,242.5,16.54,67.2,5.05,226.93,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,12228,15,Isolated,Western Atlantic,29.29,234.68,24.51,62.41,5.99,201.29,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,12250,15,Isolated,Western Atlantic,26.65,235.99,23.17,65.54,5.4,190.61,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,12311,15,Isolated,Western Atlantic,26.67,237.51,26.98,70.93,6.28,151.43,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,12332,15,Isolated,Western Atlantic,25.98,234.53,25.83,69.79,6.88,153.4,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,12354,15,Isolated,Western Atlantic,28.65,249.17,24.73,71.44,4.06,235.21,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,12415,15,Isolated,Western Atlantic,26.55,248.23,25.54,71.26,1.71,195.99,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,12436,15,Isolated,Western Atlantic,25.46,238.67,26.24,68.97,4.7,144.25,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,12457,15,Isolated,Western Atlantic,23.88,245.67,23.99,66.56,0.39,140.04,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,12519,15,Isolated,Western Atlantic,20.5,245.89,22.7,71.35,3.01,111.69,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,12540,15,Isolated,Western Atlantic,21.58,246.11,23.05,63.6,1.77,31.36,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,12601,15,Isolated,Western Atlantic,24.45,248.37,28.07,66.71,3.69,55.67,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,12623,15,Isolated,Western Atlantic,45.21,277.7,44.4,91.97,4.55,354.6,--,--,--,--,--,--,528,7623,Clear Near,--,Weakening
20210822,12830,15,Isolated,Western Atlantic,23.67,239.04,23,69.76,4.41,163.21,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,12851,15,Isolated,Western Atlantic,24.92,242.09,24.67,72.92,4.68,160.57,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,12913,15,Isolated,Western Atlantic,26.63,227.2,23.54,68.93,9.93,165.87,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,12934,15,Isolated,Western Atlantic,31.62,242.43,26.2,71.87,7.19,205.74,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,12955,15,Isolated,Western Atlantic,29.76,242.68,25.78,72.26,6.1,198.04,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,13017,15,Isolated,Western Atlantic,22.63,235.73,25.81,70.65,7.04,126.56,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,13038,15,Isolated,Western Atlantic,23.93,224.24,27.99,71.06,12.67,129.47,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,13059,15,Isolated,Western Atlantic,27.62,240.69,27.66,74.14,6.47,157.02,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,13120,15,Isolated,Western Atlantic,29.02,227.76,28.83,69.53,10.92,149.63,--,--,--,--,--,--,495,7590,Clear Near,--,Weakening
20210822,13142,15,Isolated,Western Atlantic,27.31,232.07,28.19,69.3,8.36,144.74,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,13203,15,Isolated,Western Atlantic,29.16,233.99,27.72,70.48,8.28,162.13,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,13224,15,Isolated,Western Atlantic,30.72,237.75,30.09,67.88,5.4,159.52,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,13246,15,Isolated,Western Atlantic,25.82,223.1,27.23,69.45,12.17,139.78,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,13307,15,Isolated,Western Atlantic,26.69,225.24,28.44,67.23,10.65,136.94,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
20210822,13536,15,Isolated,Western Atlantic,18.95,232.76,26.49,72.5,10.77,108.97,--,--,--,--,--,--,495,7623,Clear Near,--,Weakening
